Importance	Ngram	Frequency in tumor_stage Columns	Frequency in Non tumor_stage Columns
561	hyp	0.0	0.004096408497666
562	tme	0.0	0.06944841383252358
563	not	0.038461538461538464	0.043822044393636274
564	mes	0.0	0.010193388587215396
565	a_[	0.0	0.0009526531389920929
566	fsh	0.0	0.0001905306277984186
567	a1]	0.0	0.00047632656949604646
568	pro	0.0	0.038963513384776605
569	1_n	0.0	0.007049633228541488
570	ol_	0.0	0.07106792416881014
571	aly	0.0	0.002286367533581023
572	rim	0.0	0.021529960941221303
573	5r_	0.0	0.0007621225111936744
574	ium	0.0	0.012765552062494046
575	rob	0.0	0.018481470896446604
576	hr_	0.0	0.006096980089549395
577	e_l	0.0	0.006954367914642279
578	2bn	0.038461538461538464	0.0
579	w_t	0.0	0.00047632656949604646
580	hy_	0.0	0.018481470896446604
581	act	0.0	0.012575021434695627
582	l_m	0.0	0.009717062017719349
583	l/s	0.0	9.52653138992093e-05
584	2_m	0.0	0.005144326950557302
585	18_	0.0	0.03124702295894065
586	on-	0.0	0.014480327712679814
587	liv	0.0	0.011908164237401162
588	tew	0.0	0.0018100409640849767
589	-dm	0.0	0.0013337143945889303
590	nar	0.0	0.004096408497666
591	21c	0.0	0.0002857959416976279
592	y_4	0.0	0.002476898161379442
593	hel	0.0	0.03629608459559874
594	v-_	0.0	0.0002857959416976279
595	rai	0.0	0.015528246165571115
596	rl2	0.0	0.0010479184528913023
597	alt	0.0	0.019815185291035535
598	sec	0.0	0.005239592264456512
599	ox1	0.0	0.002000571591883395
600	21_	0.0	0.03200914547013432
601	zom	0.0	0.0001905306277984186
602	kes	0.0	0.0001905306277984186
603	72h	0.0	0.002857959416976279
604	ly_	0.0	0.010002857959416977
605	k_s	0.0	0.002191102219681814
606	e_3	0.038461538461538464	0.012003429551300371
607	rug	0.0	0.002286367533581023
608	ll_	0.0	0.23130418214728019
609	cyt	0.0	0.029818043250452512
610	mch	0.0	0.0011431837667905116
611	a_2	0.0	0.006001714775650186
612	thy	0.0	0.021244164999523675
613	a-2	0.0	0.0030484900447746975
614	y9_	0.0	0.0002857959416976279
615	o_g	0.0	0.0011431837667905116
616	rha	0.0	0.0011431837667905116
617	om_	0.0	0.024959512241592836
618	766	0.0	0.0027626941030770694
619	-67	0.0	0.0009526531389920929
620	d_c	0.0	0.023530532533104696
621	can	0.0	0.034486043631513766
622	nd_	0.0	0.027531675716871488
623	fp-	0.0	0.002572163475278651
624	oph	0.0	0.01362293988758693
625	eks	0.0	0.002286367533581023
626	sub	0.0	0.015814042107268743
627	c+_	0.0	0.0007621225111936744
628	hom	0.0	0.010479184528913024
629	pv+	0.0	0.0001905306277984186
630	cer	0.0	0.03810612555968372
631	eri	0.0	0.05887396398971135
632	was	0.0	0.004382204439363628
633	49_	0.0	0.027626941030770697
634	rea	0.0	0.10393445746403734
635	nt1	0.0	0.002000571591883395
636	3_6	0.0	0.001238449080689721
637	ak_	0.0	0.0009526531389920929
638	b3_	0.0	0.0036200819281699535
639	day	0.0	0.02162522625512051
640	vhl	0.0	0.00047632656949604646
641	b_f	0.0	0.0007621225111936744
642	77_	0.0	0.015718776793369534
643	2_w	0.0	0.004477469753262837
644	rot	0.0	0.007716490425835953
645	807	0.0	0.002191102219681814
646	nsf	0.0	0.008383347623130418
647	ia-	0.0	0.0008573878250928837
648	gac	0.0	0.0011431837667905116
649	ble	0.038461538461538464	0.008954939506525674
650	paf	0.0	0.0006668571972944651
651	hit	0.0	0.0020958369057826045
652	y_t	0.0	0.007621225111936743
653	ctr	0.0	0.017147756501857674
654	hyd	0.0	0.0011431837667905116
655	sis	0.0	0.02076783843002763
656	gh_	0.0	0.006382776031247023
657	ces	0.0	0.002286367533581023
658	so_	0.0	0.02429265504429837
659	so)	0.0	0.0007621225111936744
660	hb+	0.0	0.0001905306277984186
661	car	0.0	0.028293798228065162
662	o-a	0.0	0.0009526531389920929
663	hhd	0.0	0.0002857959416976279
664	gcc	0.0	0.0014289797084881394
665	ka_	0.0	0.0011431837667905116
666	c_2	0.0	0.004953796322758884
667	ipl	0.0	0.004477469753262837
668	85_	0.0	0.014480327712679814
669	b+h	0.0	0.0001905306277984186
670	gno	0.0	0.006192245403448604
671	r+_	0.0	0.0007621225111936744
672	sc_	0.0	0.01895779746594265
673	ern	0.0	0.002191102219681814
674	cho	0.0	0.006001714775650186
675	and	0.0	0.02295894064970944
676	t_i	0.0	0.010574449842812233
677	-19	0.0	0.004477469753262837
678	icl	0.0	0.009907592645517767
679	3e_	0.0	0.0007621225111936744
680	lla	0.0	0.00685910260074307
681	419	0.0	0.0033342859864723255
682	ra-	0.0	0.0011431837667905116
683	gc_	0.0	0.0020958369057826045
684	ac_	0.0	0.006668571972944651
685	1-p	0.0	0.0017147756501857674
686	ata	0.0	0.005906449461750976
