Importance	Ngram	Frequency in sex Columns	Frequency in Nonsex Columns
512	610	0.036290322580645164	0.006296508299942759
513	igh	0.056451612903225805	0.03033772180881511
514	por	0.04435483870967742	0.01030337721808815
515	tle	0.9637096774193549	0.9450486548368632
516	and	0.12903225806451613	0.07040641099026904
517	e1_	0.05241935483870968	0.02289639381797367
518	oid	0.09274193548387097	0.06983400114481969
519	nh_	0.008064516129032258	0.0011448196908986834
520	iti	0.12096774193548387	0.08471665712650257
521	[nd	0.004032258064516129	0.0
522	eig	0.008064516129032258	0.0011448196908986834
523	371	0.04435483870967742	0.009730967372638809
524	wle	0.008064516129032258	0.0
525	sus	0.016129032258064516	0.004006868918145392
526	175	0.06048387096774194	0.015455065827132226
527	idh	0.008064516129032258	0.0011448196908986834
528	gic	0.05241935483870968	0.018889524899828276
529	gli	0.04838709677419355	0.022323983972524327
530	cog	0.004032258064516129	0.0005724098454493417
531	cou	0.016129032258064516	0.0017172295363480253
532	14_	0.25806451612903225	0.11276473955352032
533	c4-	0.004032258064516129	0.0022896393817973667
534	ont	0.2620967741935484	0.27475672581568406
535	edi	0.04435483870967742	0.031482541499713794
536	lco	0.016129032258064516	0.0022896393817973667
537	ous	0.036290322580645164	0.05495134516313681
538	mep	0.020161290322580645	0.03949627933600458
539	–_p	0.004032258064516129	0.0
540	nio	0.012096774193548387	0.0005724098454493417
541	g_3	0.012096774193548387	0.008586147681740127
542	131	0.06854838709677419	0.019461934745277618
543	low	0.04838709677419355	0.027475672581568404
544	02_	0.18548387096774194	0.0589582140812822
545	7w1	0.004032258064516129	0.0
546	2_w	0.020161290322580645	0.01659988551803091
547	mus	0.04435483870967742	0.014882655981682884
548	f_p	0.012096774193548387	0.006296508299942759
549	r1_	0.04838709677419355	0.03720663995420721
550	k2_	0.024193548387096774	0.006296508299942759
551	g_o	0.008064516129032258	0.0011448196908986834
552	9_t	0.028225806451612902	0.01030337721808815
553	5_b	0.020161290322580645	0.009158557527189467
554	32h	0.008064516129032258	0.0005724098454493417
555	u_t	0.004032258064516129	0.0
556	r_c	0.1532258064516129	0.1522610188895249
557	-1(	0.004032258064516129	0.0005724098454493417
558	550	0.016129032258064516	0.0045792787635947334
559	oll	0.07258064516129033	0.021179164281625643
560	oto	0.016129032258064516	0.017744705208929592
561	i10	0.008064516129032258	0.0034344590726960505
562	c_s	0.0967741935483871	0.06410990269032628
563	yon	0.028225806451612902	0.03377218088151116
564	517	0.024193548387096774	0.005151688609044075
565	dne	0.036290322580645164	0.02919290211791643
566	oni	0.04838709677419355	0.04922724670864339
567	io8	0.004032258064516129	0.0
568	izu	0.012096774193548387	0.0011448196908986834
569	l_r	0.06854838709677419	0.09158557527189468
570	cum	0.012096774193548387	0.0005724098454493417
571	4-0	0.012096774193548387	0.0028620492272467086
572	+_s	0.020161290322580645	0.006868918145392101
573	ran	0.06048387096774194	0.08586147681740126
574	cd4	0.04435483870967742	0.03033772180881511
575	e_i	0.07258064516129033	0.034917000572409845
576	420	0.04435483870967742	0.008586147681740127
577	rap	0.036290322580645164	0.013737836290784202
578	8+p	0.004032258064516129	0.0
579	inf	0.056451612903225805	0.06468231253577561
580	im8	0.004032258064516129	0.0005724098454493417
581	m1_	0.036290322580645164	0.018889524899828276
582	eoa	0.004032258064516129	0.0034344590726960505
583	8d_	0.008064516129032258	0.0017172295363480253
584	r_1	0.04838709677419355	0.044075558099599316
585	y0_	0.004032258064516129	0.004006868918145392
586	9_a	0.024193548387096774	0.009158557527189467
587	tum	0.12096774193548387	0.07040641099026904
588	s1_	0.04435483870967742	0.03319977103606182
589	eek	0.04032258064516129	0.01316542644533486
590	loh	0.004032258064516129	0.0005724098454493417
591	86_	0.125	0.03377218088151116
592	zen	0.024193548387096774	0.0034344590726960505
593	noc	0.09274193548387097	0.1287922152261019
594	ula	0.0846774193548387	0.07784773898111047
595	lis	0.03225806451612903	0.01030337721808815
596	psy	0.028225806451612902	0.01316542644533486
597	obt	0.008064516129032258	0.0011448196908986834
598	t4n	0.012096774193548387	0.0017172295363480253
599	ian	0.08870967741935484	0.022323983972524327
600	t_i	0.08064516129032258	0.03606182026330853
601	1_t	0.03225806451612903	0.03319977103606182
602	c_l	0.06048387096774194	0.03033772180881511
603	lya	0.012096774193548387	0.004006868918145392
604	-99	0.012096774193548387	0.0011448196908986834
